category	word	link on verb	link on VP
vbg	catching	0	1
vbd	was	0	2
vb	literate	0	1
vbg	modifying	0	1
vbg	understanding	0	1
vbg	reconciling	0	1
vbz	music	0	1
vbz	demonstrates	0	1
vbz	facilitates	0	1
vb	punch	0	1
vb	part	0	1
vb	ignore	0	2
vbz	includes	0	1
vbg	inspiring	0	1
vb	match	0	1
vbd	liked	0	1
vbd	collected	0	1
vbg	demolishing	0	1
vbz	offers	0	1
vbg	select	0	1
vbz	resolves	0	1
vb	reform	0	1
vbd	drowned	0	1
vb	know	0	1
vbg	interactive	0	1
vb	commit	0	1
vbg	motorcycling	0	1
vbg	telling	0	1
vb	reduce	0	1
vbg	twittering	0	1
vb	bear	0	1
vbd	shot	0	1
vbg	claiming	0	1
vbz	contemplates	0	1
vb	feed	0	1
vbn	censured	0	1
vbz	breaks	0	1
vbp	affect	0	1
vbg	reporting	0	1
vbd	rescued	0	2
vbd	spawned	0	1
vbz	launches	0	1
vb	celebrate	0	2
vb	or	0	1
vb	regurgitate	0	1
vbz	commence	0	1
vbg	starring	0	1
vbn	debunked	0	1
vbn	modified	0	1
vbp	impressive	0	1
vb	wayback	0	1
vbg	launching	0	1
vbg	picking	0	1
vbz	denounces	0	1
vb	revolutionize	0	2
vbg	leading	0	1
vb	erection	0	1
vbd	calculated	0	1
vb	become	0	1
vbg	petitioning	0	1
vbd	beat	0	1
vbz	lifts	0	1
vbd	severed	0	1
vb	embellish	0	1
vb	alter	0	1
vbn	embedded	0	1
vbz	shake	0	1
vbg	touring	0	1
vb	bless	0	1
vbp	span	0	1
vbn	dissolved	0	1
vbn	scheduled	0	1
vbg	sacking	0	1
vb	sketch	0	1
vbd	trounced	0	1
vbz	discourages	0	1
vbp	hear	0	1
vbg	performing	0	1
vbg	spreading	0	1
vb	uphold	0	1
vb	decorate	0	1
vb	have	0	2
vbp	nycdot	0	1
vbd	added	0	1
vbz	negates	0	1
vb	appreciate	0	1
vbz	herbivorous	0	1
vb	hate	0	1
vbz	opens	0	1
vbp	defend	0	1
jj	localized	0	1
rb	previously	0	1
vbz	declares	0	1
vb	censor	0	1
vbn	shiloh	0	1
vb	uter	0	1
vbd	avoid	0	1
vbg	experiencing	0	1
vbz	atticus	0	1
vbp	do	0	1
vbz	photographs	0	1
vbg	describing	0	1
vbn	barred	0	1
